"Time","Direction","TraceCode","SeqNo","CmdNo","DbId","Attempt","MaxRetry","HeaderHex","Payload"
"2026-01-20 10:45:18.247","TX","da0b1f44-73ff-49c7-b55b-dc9bb2f1936f","1","1","7bca24f7-07b5-4b93-b487-08c559fe2da6","1","1","C5 6D 00 00 2B 00 E4 6A 01 01 01 00","8901690004002700496327042601201045000001   "
"2026-01-20 10:45:19.063","RX","0b01f2fd-47e2-4f32-8437-fba2d2e2a0d0","0","0","","0","0","00 00 C5 6D 02 00 E7 46 01 00 01 00","OK"
"2026-01-20 10:45:20.042","RX","ec78ccd4-0a62-4e98-a2b3-c4299cda4221","1185","0","","0","0","00 00 C5 6D 26 00 BA C8 01 01 A1 04","7601026900040027004963270426012010450 "
"2026-01-20 10:45:20.047","RX","da0b1f44-73ff-49c7-b55b-dc9bb2f1936f","1185","1185","7bca24f7-07b5-4b93-b487-08c559fe2da6","1","1","00 00 C5 6D 06 00 CB F5 01 00 A1 04","f60001"
"2026-01-20 10:45:20.054","TX","10e7a675-a6de-4c2b-a33e-9389237d07d4","201","201","a95346de-4ce3-43e1-93c8-358cf7565f2b","1","1","C5 6D 00 00 80 00 F3 C1 01 01 C9 00","80B2260120074526012010250555000500000500RZA   Z10050                                                    000069000400270049630201"
"2026-01-20 10:45:21.038","RX","b9033e67-d057-45ee-acaf-0bd2c7e008b1","0","0","","0","0","00 00 C5 6D 02 00 1F 46 01 00 C9 00","OK"
"2026-01-20 10:45:21.042","RX","10e7a675-a6de-4c2b-a33e-9389237d07d4","201","201","a95346de-4ce3-43e1-93c8-358cf7565f2b","1","1","00 00 C5 6D 02 00 1F 46 01 00 C9 00","OK"
"2026-01-20 10:46:21.058","TX","9827c1dd-873d-498d-8a10-e152e53a4d25","2","2","29b6cf13-2b7c-4858-a810-ea42a078bb72","1","1","C5 6D 00 00 2B 00 F4 8C 01 01 02 00","890251330400682001  25112601201046000001   "
"2026-01-20 10:46:22.089","RX","6b531038-2cce-4f3e-b143-b2aed8c07867","0","0","","0","0","00 00 C5 6D 02 00 E6 46 01 00 02 00","OK"
"2026-01-20 10:46:22.092","RX","3fd4ce9f-fd4d-43aa-8b20-c7acc7530358","0","0","","0","0","00 00 C5 6D 02 00 E8 46 01 00 00 00","OK"
"2026-01-20 10:47:23.539","RX","8740be31-88d7-42ac-8f51-ff71d7804682","1187","0","","0","0","00 00 C5 6D 26 00 C9 EA 01 01 A3 04","76020251330400682001  251126012010460 "
"2026-01-20 10:47:23.542","RX","9827c1dd-873d-498d-8a10-e152e53a4d25","1187","1187","29b6cf13-2b7c-4858-a810-ea42a078bb72","1","1","00 00 C5 6D 06 00 C9 F4 01 00 A3 04","f60002"
"2026-01-20 10:47:23.543","TX","52b17f63-b047-424b-948e-ce876384b350","202","202","5d4bfa4b-6b52-474e-ab9e-b071bbefe3f2","1","1","C5 6D 00 00 80 00 04 DC 01 01 CA 00","80B2260120074726012010270555000500000500RZA   Z10050                                                    000051330400682001  0202"
"2026-01-20 10:47:24.155","RX","b8a9c4c5-a266-4831-ab0c-8d5985f0c3a9","0","0","","0","0","00 00 C5 6D 02 00 1E 46 01 00 CA 00","OK"
