"Time","Direction","TraceCode","SeqNo","CmdNo","DbId","Attempt","MaxRetry","HeaderHex","Payload"
"2026-01-20 10:47:24.158","RX","52b17f63-b047-424b-948e-ce876384b350","202","202","5d4bfa4b-6b52-474e-ab9e-b071bbefe3f2","1","1","00 00 C5 6D 02 00 1E 46 01 00 CA 00","OK"
"2026-01-20 10:48:24.169","TX","889dbad9-43aa-4e51-987a-e3377aa2a7f2","3","3","d436ebd6-cbaa-4e7a-989f-097ad11dad95","1","1","C5 6D 00 00 2B 00 C6 58 01 01 03 00","8903364310229999999628042601201048000001   "
"2026-01-20 10:48:25.206","RX","25de89ea-bf16-4a67-83bf-f975f9d44b9e","0","0","","0","0","00 00 C5 6D 02 00 E5 46 01 00 03 00","OK"
"2026-01-20 10:48:25.208","RX","b911bc22-8978-4552-9dbd-cd84bc51661f","0","0","","0","0","00 00 C5 6D 02 00 E8 46 01 00 00 00","OK"
"2026-01-20 10:49:27.665","RX","8f0e3c44-4e18-4a04-9dbd-8cb8904f4e8b","1189","0","","0","0","00 00 C5 6D 26 00 9A B6 01 01 A5 04","7603023643102299999996280426012010480 "
"2026-01-20 10:49:27.668","RX","889dbad9-43aa-4e51-987a-e3377aa2a7f2","1189","1189","d436ebd6-cbaa-4e7a-989f-097ad11dad95","1","1","00 00 C5 6D 06 00 C7 F3 01 00 A5 04","f60003"
"2026-01-20 10:49:27.670","TX","617c0752-eee7-4817-b47b-d0b346cee4e9","203","203","c6476dab-608e-4063-a236-b831460d5b6b","1","1","C5 6D 00 00 80 00 D5 AB 01 01 CB 00","80B2260120074926012010290555000500000500RZA   Z10050                                                    000036431022999999960203"
"2026-01-20 10:49:28.259","RX","b1cfa645-b8dd-49e8-a4ae-1a967b06d825","0","0","","0","0","00 00 C5 6D 02 00 1D 46 01 00 CB 00","OK"
"2026-01-20 10:49:28.261","RX","617c0752-eee7-4817-b47b-d0b346cee4e9","203","203","c6476dab-608e-4063-a236-b831460d5b6b","1","1","00 00 C5 6D 02 00 1D 46 01 00 CB 00","OK"
"2026-01-20 10:50:28.266","TX","bfe0acbf-cfa3-459d-ad86-1906020f3666","4","4","eeffc155-7a32-4dde-a790-d58bb0226305","1","1","C5 6D 00 00 2B 00 E0 6C 01 01 04 00","8904690004002700496327042601201050000001   "
"2026-01-20 10:50:28.307","RX","ad7244a3-3365-401a-9723-982183531c56","0","0","","0","0","00 00 C5 6D 02 00 E8 46 01 00 00 00","OK"
"2026-01-20 10:50:29.311","RX","004f39de-6333-4a3c-920b-7ff84c870bff","0","0","","0","0","00 00 C5 6D 02 00 E4 46 01 00 04 00","OK"
"2026-01-20 10:51:30.561","RX","1671fd64-31ee-43b0-a912-f5acd46b8a98","1191","0","","0","0","00 00 C5 6D 26 00 B3 CA 01 01 A7 04","7604026900040027004963270426012010500 "
"2026-01-20 10:51:30.563","RX","bfe0acbf-cfa3-459d-ad86-1906020f3666","1191","1191","eeffc155-7a32-4dde-a790-d58bb0226305","1","1","00 00 C5 6D 06 00 C5 F2 01 00 A7 04","f60004"
"2026-01-20 10:51:30.565","TX","e7883628-af85-4f6b-bd4d-3bd7874bcb15","204","204","2ea38fe2-43ba-4ee1-850c-2eb2ed408efe","1","1","C5 6D 00 00 80 00 EE C6 01 01 CC 00","80B2260120075126012010310555000500000500RZA   Z10050                                                    000069000400270049630204"
"2026-01-20 10:51:31.362","RX","6f702ad4-83b3-4578-a0a5-c874c5a43efd","0","0","","0","0","00 00 C5 6D 02 00 1C 46 01 00 CC 00","OK"
"2026-01-20 10:51:31.365","RX","e7883628-af85-4f6b-bd4d-3bd7874bcb15","204","204","2ea38fe2-43ba-4ee1-850c-2eb2ed408efe","1","1","00 00 C5 6D 02 00 1C 46 01 00 CC 00","OK"
"2026-01-20 10:52:31.378","TX","5e87676a-e764-43aa-a11e-24014af420ac","5","5","811d6ad5-2508-45ff-a13f-7accd95a600b","1","1","C5 6D 00 00 2B 00 F0 8D 01 01 05 00","890551330400682001  25112601201052000001   "
"2026-01-20 10:52:31.415","RX","5ce6c680-732d-44c5-ac91-7b47a01e35fd","0","0","","0","0","00 00 C5 6D 02 00 E8 46 01 00 00 00","OK"
"2026-01-20 10:52:32.417","RX","9f96fe10-933e-4110-b6ba-b8cfc5e0b00a","0","0","","0","0","00 00 C5 6D 02 00 E3 46 01 00 05 00","OK"
"2026-01-20 10:53:33.447","RX","2600ac7e-c831-4899-91df-631eb6c13515","1193","0","","0","0","00 00 C5 6D 26 00 C2 EB 01 01 A9 04","76050251330400682001  251126012010520 "
"2026-01-20 10:53:33.450","RX","5e87676a-e764-43aa-a11e-24014af420ac","1193","1193","811d6ad5-2508-45ff-a13f-7accd95a600b","1","1","00 00 C5 6D 06 00 C3 F1 01 00 A9 04","f60005"
"2026-01-20 10:53:33.452","TX","7758083a-01f9-42f7-93e4-28384f74a1f8","205","205","86142739-a2b9-42fd-9ec1-88db0b785323","1","1","C5 6D 00 00 80 00 FF E0 01 01 CD 00","80B2260120075326012010330555000500000500RZA   Z10050                                                    000051330400682001  0205"
"2026-01-20 10:53:34.463","RX","d48c4dd1-442f-4f50-8769-d592912b4e6e","0","0","","0","0","00 00 C5 6D 02 00 1B 46 01 00 CD 00","OK"
"2026-01-20 10:53:34.466","RX","7758083a-01f9-42f7-93e4-28384f74a1f8","205","205","86142739-a2b9-42fd-9ec1-88db0b785323","1","1","00 00 C5 6D 02 00 1B 46 01 00 CD 00","OK"
